address,approx_cost_for_2,cuisines,known_for,locality,more_info,most_liked_Food,most_liked_Service,opening_timings,photos_taken,rating,restaurant_link,restaurant_name,reviews,votes
"Garuda  Mall, 4th Floor, Magrath Road, Near Brigade Road, Brigade Road, Bangalore",450,"Burger, Fast Food",,ChurchStreet,"Home Delivery, Indoor Seating, ","[3, 'Burgers', 'Virgin Mojito', 'Rice Bowl', 'Ginger Chicken', 'Crispy Chicken', 'Popcorn']","[4, 'Prompt Service']","['11am', '11pm']",129,3.8                                     /5,https://www.zomato.com/bangalore/kfc-1-brigade-road,KFC,"['', 'one of the best and mouth watering place of all time💓 for all chicken🍗 lovers😎. here you can enjoy your meal with friends and family both pocket friendly and over budget🙈. every type of dish🍜🤘.', 'Worst kfc outlet in Bangalore. Old stock chicken, staff not so friendly, and had few items missing while ordering online from this outlet, got a refund.', ""I love it..... it is so finger licking good with nice ambience. I would love come here again and look forward having a nice time kfc old man laughing. And i am eating so much in front of him but he can't eat it.. haha"", 'Just like any other outlet of kfc, the one in Brigade Road is good too.\nFood is finger lickin’ good, ofcourse \nIt takes quite some time for the food to be serviced, though.\nValue for money\nA great spot to hang out with college friends', 'Located at Garuda mall,\n\nKFC is our favorite.\n\nNice burgers and chicken combo with\nlime drink yummy 😋.\n\nAmazing taste worth for what we paid.\n\nWill come back soon.', 'The food was good but one thing I am disappointed was that one item was missing in my order and I tried calling the outlet where we placed the order and they said that they aren’t responsible for that and to contact Zomato. And none answered my calls!', ""There wasn't any food available for 3 consecutive days I visited at 9 pm which isn't a far fetched odd time and when all other KFC outlets have prepared food at 11 o clock at night this outlet refuses to even acknowledge their customer with politeness."", 'It a good place to hang out but kind of busy always. But the food is good and friendly service. I had there kitchen tour, it was nice too. 😄', 'Amazing burgers and delicious rice bowls.The place for good crispy chicken.We ordered a rice bowl along with the zinger combo.And in drinks we ordered virgin mojito']"," 247  votes
"
"545, Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",500,"Burger, Fast Food, Beverages",,ChurchStreet,"Home Delivery, Indoor Seating, ","[4, 'Burgers', 'Tandoori Grill Burger', 'Fries', 'Fried Cheese', 'Mango Shake', 'Whopper Burger', 'Chicken Keema Burger']","[4, 'Courteous Staff', 'Friendly Staff', 'Friendly Service']","['8am', '1am']",511,4.0                                     /5,https://www.zomato.com/bangalore/burger-king-indiranagar,Burger King,"['I had ordered mcaloo tikki burger which was moderate in taste and proportion. I even ordered plain fries which was better. To go with this meal, a soft drink was also ordered. The place is decent for a normal meal at an affordable price. I had ordered meals and desserts as well, they were good', 'This place is one of my favourite eating point. I truly love the service provided by them in addition to the various delicious food items. I love to try the various burgers,shakes,the meals and various other menu items. The best part about burger king is that you get really satisfying dishes at minimum price. I recommend it as a m']"," 1486  votes
"
"PID 72-9-226, 226, 2nd Stage, 2nd Phase, Domlur, Bangalore",500,"South Indian, North Indian, Chinese, Beverages",,ChurchStreet,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, All Day Breakfast, ","[4, 'Burgers', 'Tandoori Grill Burger', 'Fries', 'Fried Cheese', 'Mango Shake', 'Whopper Burger', 'Chicken Keema Burger']","[4, 'Courteous Staff', 'Friendly Staff', 'Friendly Service']","['6:30am', '10:30pm']",148,4.0                                     /5,https://www.zomato.com/bangalore/sri-udupi-food-hub-domlur-bangalore,Sri Udupi Food Hub,"[""What we ordered :\n1. Pav bhaji : so so, bhaji taste wasn't good.The accompanying cut onions looked stale and old.\n2. Open butter masala Dosa : Tasted delicious with the dollop of fresh butter on top.The topping of grated carrot, chopped coriander we're again not fresh and looked dry n withered.\n3. Coffee : Good""]"," Based on 104 votes
"
"Old 2, New 4, Old Binnamangala Village, Ward 82, Mahadevpura, Indiranagar, Bangalore",400,"Healthy Food, North Indian, Biryani, Continental, Beverages",,ChurchStreet,"Breakfast, Delivery Only, Desserts and Bakes, ","[4, 'Dal Makhani', 'Chicken Curry', 'Biryani', 'Veg Thali', 'Sandwich', 'Noodle', 'Fruit Bowl']",,"['7am', '10:30pm']",201,4.3                                     /5,https://www.zomato.com/bangalore/eat-fit-indiranagar-bangalore,eat.fit,"['We were invited to review this place . We tried shunya lemon and lime infused green tea it tasted nice. They gave us option to curate our own meal so we went for noodles and chilli paneer which was served with salad and oat balls , it was good in taste and we also tried Dal makhni and chole with lacha Paratha , that was nice too. We absolutely loved the moist chocolate cake which was healthy and yet so delicious. Ambiance is great too.', 'Eat.Fit is a go-to place for budget nights (after 10pm). Not too spicy, not bland either, the food is a saviour of a happy tummy. The Paneer and Egg dishes are particularly appealing to me, apart from the Salad.\n\nWhile the experience of having the choice to add anything to your plate is what we friends relish most, what we hate are their sample servings of so called ""healthy"" sweet (like the flax seed barfi or the sweet peanut powder) on the meal which is not something that is pleasant at the end of a sumptuous meal.\n\nEven the rotis aren\'t always soft and sometimes are dry by the end of the day. The best bet then is the biryani which is always kept warm.', ""Placed order for Lucknowi Veg Biryani biryani was to dry. I heard and seen advertisement about so planned to order, But got dispoitment with quantity as well.\nNeed a lots of improvement\nGiving 3 star only for packaging.\nDidn't get bill along with Order"", '🐰Thai green chicken curry, sauteed veg, wok rice or should I say woke rice xD and a humble salad\n🐰I like the fact that I can get cost friendly healthy macro nutrient measured food right at my door step thanks to eat fit\n🐰Thai curry consistency - 7/10 over all but 10/10 based on the price\n🐰I liked the fact that the whole meal had a medley of veggies especially antioxidant rich ones\n🐰kcal - 400\n🐰major love for your weight watch menu', ""Ordered the raw pressery juice along with a moist chocolate cake and the food came right on time. Was surprised to see that they gave me a complimentary lemon tea cake on my order. This was soo sweet and unexpected. Thank you. The moist chocolate cake had a very good consistency. Not too moist nor too dry.. Just perfect. The lemon tea chia cake was also very well made. I'd like to however give a small suggestion for the packaging. If the cakes could be cling wrapped before its put in the box, I think it would make more sense because I ended up getting the chocolate cake stuck to one part of the box with the top layer gone :'("", ""Ordered fruits bowl... The miskmelon was a spoiler. It was way too raw to eat. Inspired by the Whitefield branch's fruit bowl o reordered here in office... Was a bit disappointing.\n\nThe walnut cake also was not great. Did not seem fresh. I liked its packaging though."", ""Healthy, filling, and worth the money. Look out for their daily deals for a steal of a meal. I tried the rice with chilli chicken and paneer kurchan along with a healthy dose of salad. It's perfect for a healthy lunch and not heavy on the wallet.""]"," 1135  votes
"
"12/1, Swami Vivekananda Road, Jayaraj Nagar, Someshwarpura, Ulsoor, Bangalore",350,"North Indian, Chinese, South Indian",,ChurchStreet,"Home Delivery, No Alcohol Available, Indoor Seating, Table booking recommended, ","[4, 'Chicken Biryani Combo']",,"['9am', '12:50am']",18,3.7                                     /5,https://www.zomato.com/bangalore/shahi-family-restaurant-ulsoor-bangalore,Shahi Family Restaurant,"['Nothing tasted good', 'Good\xa0 food\xa0 , I\xa0 liked\xa0 it . Biryani ordered was tasty ,\xa0 quantity\xa0 was\xa0 good , presentation\xa0 good , Salan\xa0 \xa0was\xa0 good ,\xa0 Only\xa0 suggestion\xa0 is to\xa0 provide Spoon with order', '', '', '', '', '', 'Sooo delicious .......🍽️🍽️🍽️🍽️', '', '']"," 212  votes
"
,450,"Chinese, Continental, Italian, Healthy Food, Asian, North Indian, Pizza, Desserts",,ChurchStreet,"Breakfast, Delivery Only, Keto Options, ","[4, 'Salad', 'Burgers', 'Peppy Paneer Pizza', 'Chicken Dum Biryani', 'Potato Wedges', 'Noodle', 'Fish']",,"['8am', '11:40pm']",379,3.9                                     /5,https://www.zomato.com/bangalore/freshmenu-richmond-road,FreshMenu,"[""Freshmenu has always been my go to food ordering place for majorly three reasons. They have so many healthy options that you just can't go on a guilt trip after hogging the food, the prices are really nominal considering the quantity they give and thy deliver the food in time with it's intact freshness. I ordered some Paneer bhurji, herb grilled twin smokey chicken steak, cheesy chicken korma with malabari paratha and keto friendly creamy Tuscan chicken for the mains and choco lava cream har, red velvet cream jar and a banana muffin for the sweet tooth that I am. I have to say everything on the order was delicious and looked exactly like their pictures online. It tasted fresh, warm and left me asking for more. The best part of the order was definitely the banana muffin. I don't know what they do with their banana based desserts but they nail it every since time. With their new weekly subscription for breakfast, lunch and dinner; life has become much more easier."", ""Ordered Teriyaki chicken bowl. Was satisfactory taste-wise and quantity wise. I like their schezwan noodles and penne arabiata pasts as well. Once I tried American Lo Mein, didn't like much. Can try.""]"," 445  votes
"
"14, Devatha Plaza, Residency Road, Bangalore",700,"Biryani, North Indian, Mughlai",,ChurchStreet,"Delivery Only,  Serves Halal   , ","[4, 'Gulab Jamun', 'Basmati Rice', 'Paneer Subz Biryani', 'Gosht Dum Biryani', 'Chicken Biryani']",,"['10am', '1am']",44,4.0                                     /5,https://www.zomato.com/bangalore/behrouz-biryani-residency-road,Behrouz Biryani,"['The Murgh kefta and the Lazeez Bhuna Murgh biryani was too good. I like spicy food. Although, I can say that the Lazeez Bhuna Murgh biryani was medium spicy. The chicken was bhuna and juicy. The biryani was also moist and not dry. I loved this fact as dry biryani is big turnoff. For the price biryani was good in quantity. The Murgh kefta were spicy kebabs. They are best for those with braces or weak teeth. They are not chewy but juicy. Try these two dishes highly recommended.\n                                                smartyoungsters.com']"," 152  votes
"
"112, MM Road, Frazer Town, Bangalore",250,"South Indian, Chinese",,ChurchStreet,"Breakfast, Home Delivery, Vegetarian Only, Free Parking, Indoor Seating, ","[4, 'Gulab Jamun', 'Basmati Rice', 'Paneer Subz Biryani', 'Gosht Dum Biryani', 'Chicken Biryani']",,"['7am', '10pm']",13,4.2                                     /5,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore,Vijayalakshmi Veg,"['They have sent stale food.Horrible restaurant . Never order through online apps coz dey never send fresh food. Worse restaurant ever', 'Prompt delivery and courteous service of Mr Burhan Appreciate his respect towards senior citizen.', 'Poori was delivered without saagu.Idli had mud residue.Cleaning the food products before cooking/processing would be good and beneficial to all.', 'The delivery person was excellent…… ....it was festival day heavy traffic he delivered on time', '', '', '', 'Taste is good, today zomato delivery agent missed couple of items in my order, hotel sent their staff to deliver remaining order thanks to the hotel Vijayalakshmi Veg and staff, however zomato support reply was to write email to zomato support and they will get back to me in 24hrs to 48 hrs AI Support is not customer friendly - zomato scale up or will give hotel idea to deliver and take over the business from zomato.', '', 'Best place to have veg food. Better to take away as the hotel is always crowded between (8-10am). Idli and dosa are the best there, its a pure vegetarian hotel.']"," 66  votes
"
"544, First Floor, Near Indiranagar Metro Station, CMH Road, Indiranagar, Bangalore",800,"Biryani, Andhra, South Indian, North Indian, Chinese",,ChurchStreet,"Home Delivery, No Alcohol Available, Indoor Seating, Table Reservation Not Required, ","[4, 'Chicken Boneless Biryani', 'Andhra Biryani', 'Paneer Biryani', 'Tandoori Chicken', 'Chicken 65', 'Hyderabadi Biryani', 'Prawn Biryani']","[4, 'Prompt Service', 'Valet Service']","['12noon', '4pm', '7pm', '11pm']",468,4.2                                     /5,https://www.zomato.com/bangalore/meghana-foods-indiranagar,Meghana Foods,"['Best place to have spicy briyani 😎\nFish fry is too good. U will get two pieces of Vanjiram fish.\nTry Meghana 555,Chicken starter.\nTry Mutton Kheema Briyani, other briyani will be normal or u may dislike but this one u will like if ur a spicy briyani lover.', ""Convenient location, right near the Indiranagar metro station. The best andhra biryani you could ever try. Without a doubt the Chicken boneless biryani was really good, if you love spicy food. Dont expect great ambience as it usually gets really noisy and unorganized, but it's definitely worth it for the good food!"", ""My team was craving for biriyani and I decided to treat them at this place. It's about a 100 metres from the metro station. \n\nIf you go to this place, there are two things that you might wanna try - The meals & their Biriyani (which is what it is famous for). The Dum aloo biryani wasn't great. For my vegetarian friends out there, try the Paneer biriyani & Egg Biriyani, and the non-vegetarians can have the boneless chicken biriyani. \n\nThe quantity served is good & filling. It's easy on the pocket as well. Go belt some Biriyani! 🤤"", ""One of the best chickn boneless biryanis in Bangalore. It's like a festival inside your mouth. My all time favorite dishes from the place are meghnas special biryani, andhar chilli chicken and lollypops. But honestly if you pick just about any starter from their menu, it will be naturally amazing! This place is almost always full and they have super fast service!"", 'Upto last year:\nWow.. one of finest birirani in the town... I tried almost all biririanies.... All are good... Veg Biriani also I liked lot.... My wife likes alot... Almost mnty 4_5 times we will have here\n\n8th Sep 2019:\nToday we visited same restaurant, we ordered prawn biriyani, meals and special fish fry.. we are totally disappointed with prawn biriyani and fish fry is totally waste, it smells lot.. 2 pieces of fish fry they are charging 350+. My total cost is around 950+. If I add few more money I can go with buffet and have very good starters.. ill not recommended this restaurant...']"," 1922  votes
"
"74/2A, K.R. Garden, Koramangala 8th Block, Bangalore",400,"Bakery, Desserts",,ChurchStreet,"Home Delivery, Seating Not Available, Pre-Ordering Required, Desserts and Bakes, ","[3, 'Chocolate Truffle Cake', 'Blueberry Cheesecake', 'Blackforest Cake']",,"['10:30am', '2am']",27,3.2                                     /5,https://www.zomato.com/bangalore/cake-box-1-koramangala-8th-block-bangalore,Cake Box,"[""Cake was not good at all. I've made couple of calls to them after placing the order to deliver a fresh cake but one from the freezer. But feedback is not taken into consideration at all. There idea of layers is good but implementation is very bad. You can't cut the cake and distribute as you're supposed to because of the cream getting solidified and bottom layer just sticks on to the cake tray. I've placed 3 orders till now. Will not leave order from here again. Just see how careless they are in writing message on cake. That's a basic thing.\n\nThey did it once again, I accidentally placed an order from online and they wrote the worst message possible. How can one mistake name - Shahid Khan this much badly.""]"," 147  votes
"
