restaurant_link,locality,restaurant_name,photos_taken,rating,votes,cuisines,approx_cost_for_2,opening_timings,address,more_info,known_for,most_liked_Food,reviews
https://www.zomato.com/bangalore/eat-fit-indiranagar-bangalore,Indiranagar,eat.fit,201,4.3                                     /5," 1135  votes
","Healthy Food, North Indian, Biryani, Continental, Beverages",400,"['7am', '10:30pm']","Old 2, New 4, Old Binnamangala Village, Ward 82, Mahadevpura, Indiranagar, Bangalore","Breakfast, Delivery Only, Desserts and Bakes, ",healthy and wholesome meals,"[4, 'Dal Makhani', 'Chicken Curry', 'Biryani', 'Veg Thali', 'Sandwich', 'Noodle', 'Fruit Bowl']","['We were invited to review this place . We tried shunya lemon and lime infused green tea it tasted nice. They gave us option to curate our own meal so we went for noodles and chilli paneer which was served with salad and oat balls , it was good in taste and we also tried Dal makhni and chole with lacha Paratha , that was nice too. We absolutely loved the moist chocolate cake which was healthy and yet so delicious. Ambiance is great too.', 'Eat.Fit is a go-to place for budget nights (after 10pm). Not too spicy, not bland either, the food is a saviour of a happy tummy. The Paneer and Egg dishes are particularly appealing to me, apart from the Salad.\n\nWhile the experience of having the choice to add anything to your plate is what we friends relish most, what we hate are their sample servings of so called ""healthy"" sweet (like the flax seed barfi or the sweet peanut powder) on the meal which is not something that is pleasant at the end of a sumptuous meal.\n\nEven the rotis aren\'t always soft and sometimes are dry by the end of the day. The best bet then is the biryani which is always kept warm.', ""Placed order for Lucknowi Veg Biryani biryani was to dry. I heard and seen advertisement about so planned to order, But got dispoitment with quantity as well.\nNeed a lots of improvement\nGiving 3 star only for packaging.\nDidn't get bill along with Order"", '🐰Thai green chicken curry, sauteed veg, wok rice or should I say woke rice xD and a humble salad\n🐰I like the fact that I can get cost friendly healthy macro nutrient measured food right at my door step thanks to eat fit\n🐰Thai curry consistency - 7/10 over all but 10/10 based on the price\n🐰I liked the fact that the whole meal had a medley of veggies especially antioxidant rich ones\n🐰kcal - 400\n🐰major love for your weight watch menu', ""Ordered the raw pressery juice along with a moist chocolate cake and the food came right on time. Was surprised to see that they gave me a complimentary lemon tea cake on my order. This was soo sweet and unexpected. Thank you. The moist chocolate cake had a very good consistency. Not too moist nor too dry.. Just perfect. The lemon tea chia cake was also very well made. I'd like to however give a small suggestion for the packaging. If the cakes could be cling wrapped before its put in the box, I think it would make more sense because I ended up getting the chocolate cake stuck to one part of the box with the top layer gone :'("", ""Ordered fruits bowl... The miskmelon was a spoiler. It was way too raw to eat. Inspired by the Whitefield branch's fruit bowl o reordered here in office... Was a bit disappointing.\n\nThe walnut cake also was not great. Did not seem fresh. I liked its packaging though."", ""Healthy, filling, and worth the money. Look out for their daily deals for a steal of a meal. I tried the rice with chilli chicken and paneer kurchan along with a healthy dose of salad. It's perfect for a healthy lunch and not heavy on the wallet.""]"
https://www.zomato.com/bangalore/the-twisted-desi-indiranagar-bangalore,Indiranagar,The Twisted Desi,706,4.4                                     /5," 733  votes
","Continental, Italian, North Indian, Chinese",1,"['12noon', '11:30pm']","295 & 296, Ground Floor, 100 Feet Road, Indiranagar, Bengaluru","Home Delivery, Vegetarian Only, Outdoor Seating, Table booking recommended, Indoor Seating, ",,"[5, 'Dal Makhani', 'Pasta', 'Dal Tadka', 'Rasmalai', 'Gulab Jamun', 'Pav Bhaji', 'Diwani Handi']","['Nothing in food is justifying their ratings. Kashmiri dum aloo was very bad and not dum at all. Kabuli naan in name of fruit cocktail had fruit jam on it, seriously are you kidding me. Peshawari tikka- I was told is paneer stuffing but it was nothing but paneer tikka that too half cooked marination.\n\nEveryone on floor had some issue with some food item and I am sure this is totally not worth of money.\n\nAnd they charge service charge too :)', 'The ambience was so cool and very pleasant. Best place to have nice and peaceful dinner. \n\nTaste was good as well. \nPenne Alfredo Pasta was very creamy and must try in this place', ""Firstly we book a group table (11ppl) for 9.30 pm and we got it at 9.50pm. When we started giving our order, the waiter noted down few and said I will send my senior to take order. Then we received 3 portions of pasta instead of 1. We had ordered some Indian food for kids, which we did not get till 11.30pm. One dish comes in an hour's time which is shared among the 11 of us. We told no ice in watermelon juice, but we receive a cold one. At 11.40 we asked for our pending order items, and the waiter days all items are served. When we said no, he goes in and brings some other dish. Utter disappointed and waste of money. I will recommend people not to go here. A big waste of money and time."", 'A very little place near the very busy KFC sognal, this place is a great visit for family.\nMaintained clean and neat, the staff welcomes you with a warm smile.\n\nWe had to wait for ten minutes before we were seated.\n\nA very little menu I would say, but it covers a lot of dishes, but not with a lot of variety.\n\nWe started with creamy spinach soup. It was delicious. Savoury, creamy, it was perfect.\n\nThen we went to italian pav bhaji. I felt this was just an over westernisation of the traditional Indian food. Pav bhaji is pav bhaji because of the masala and not the concept of a pav and some random bhaji. I appreciate their efforts, but I personally did not like it. Otherwise the pav was buttery and the bahji had decent amounta of cheese. Could have been a little spicy.\n\nBabycorn dragon - This was a mistake I guess. It was decent, normal..nothing great.\n\nOnly complaint is we had to call for staff many a times for water, forks, sppons and tissues etc\n\nFollow me on Zomato for more reviews', ""Wonderful .. food .. atmosphere and excellent service from Anu and her team we took the infinity plan and was amazed with the spread we could order and also kept in mind we don't waste .. it was an occasion we were celebrating and they did their best. The portions were perfect and the food from the taste to the presentation simply awesome..,!! It was a Monday so wasn't crowded.. we order quite a few things but the avacado salad .. the bake and the continental was off the hook .. the desserts are to die for..\nThey also wrote happy birthday on the plate which was thoughtful and customer service at its best. A must visit place."", ""This place seems to be one of the hidden gem in the busiest of the lanes in Indiranagar. Located a stone throw away from Toit. However it's a little tough to identify the place for the first timers.\n\nThe ambiance of the place is simple, basic and neatly done. The staff help you to find a comfortable table and settle.\n\nI was recently here with a few friends for dinner. The menu is a modern makeover of classic dishes,\n\nThe pear and walnut salad was a healthy and wise choice for me,\n\nNext came the stuffed mushroom tikka and the peshawari panner tikka both well done and done to perfection.\n\nThe rosemary mix veg roast was a perfect alternative to a veggie replacing a steak.\n\nThe banana peanut butter shake was great one too.\n\nDesserts were a modern makeover of the classic rasmalai and gulab jamoon.\n\nOver all worthy visit.\n                                                voiceofmytastebuds.com"", ""Jacqueline and Mohsin were the stars of the day!\nWe were here for dinner and these guys made the experience memorable and worth the second visit.\nEverything was perfect!\nDon't go by the space of the restaurant. These people wont disappoint you! Absolutely must visit!\nGood job guys! Cheers :)"", 'At the outset, this is a pure veg restaurant. The food was quite tasty. We ordered dishes that were both desi and continental, and found them all to pass muster. Good place for a quiet meal.']"
https://www.zomato.com/bangalore/paradise-biryani-2-indiranagar-bangalore,Indiranagar,Paradise Biryani,1053,4.0                                     /5," 3540  votes
","Biryani, North Indian",800,"['11:30am', '11pm']","484, Signature Square, CMH Road, Indiranagar, Bangalore","Home Delivery, No Alcohol Available, Valet Parking Available, Indoor Seating, ",Hyderabadi Dum Biriyani,"[4, 'Hyderabadi Biryani', 'Chicken Biryani', 'Mutton Biryani', 'Vegetable Biryani', 'Hydrabadi Biryani', 'Chilli Paneer', 'Mutton Seekh Kabab']","[""This legendary outlet perhaps serves the lightest form of Hyderabadi biryani on earth. It's easy on palate and unhaunting in the end! Although I personally like the spicier version but sometimes to be on the healthier side, I bank upon Paradise to satisfy my biryani cravings. Taste, quality and quantity-wise they have maintained parity with their Hyderabad outlets.""]"
https://www.zomato.com/bangalore/potful-2-domlur,Indiranagar,Potful,228,4.0                                     /5," 1248  votes
","Biryani, Kebab, Rolls, Mughlai",650,"['11am', '11:30pm']",NA,"Delivery Only, Seating Not Available, Card Upon Delivery, ",,"[4, 'Phirni', 'Hyderabadi Biryani', 'Lucknowi Biryani', 'Chicken Roll', 'Calcutta Biryani', 'Chicken Biryani', 'Gulab Jamun']","['I ordered a Hyderabadi boneless chicken biryani.Here the biryani is served with a pot.The quantity is good.The biryani was lovely and there was good amount of masala.\nThe flavour of biryani was spicy and nice.', 'Keep Calm and Add Dum to your Biryani !\n.\nDelivery Review : Potfull\n.\nWhen Biryani cravings happen you can surely reach out to order from Potfull , so many things to like about this outlet !\nI often crave for biryani so decided to give this place a go specially because they serve in Mud pots .\nSurely the packaging attracted me as I am big no plastic preacher but after trying Potfull Hyderabadi Dum Biryani and Khada Chicken Tikka .\nI am surely impressed with the taste apart from the packaging .\n\nThe Tikka was succulent and well marinated .\nThe Biryani was flavourfull and the right amount of spice\n.\nOn a first look Price might seem a bit high but the quantity and the amount of Chicken pieces justify it completely .\n\nNote worthy Mentions :\nDelivery was on point and reached quickly\nThey also send plant seeds along to reuse the pot and plant in it .\nThough served in a mud pot , it was sealed perfectly keeping the Biryani really hot for long']"
https://www.zomato.com/bangalore/burger-king-indiranagar,Indiranagar,Burger King,511,4.0                                     /5," 1486  votes
","Burger, Fast Food, Beverages",500,"['8am', '1am']","545, Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore","Home Delivery, Indoor Seating, ","High-quality, great-tasting and affordable Burgers.","[4, 'Burgers', 'Tandoori Grill Burger', 'Fries', 'Fried Cheese', 'Mango Shake', 'Whopper Burger', 'Chicken Keema Burger']","['I had ordered mcaloo tikki burger which was moderate in taste and proportion. I even ordered plain fries which was better. To go with this meal, a soft drink was also ordered. The place is decent for a normal meal at an affordable price. I had ordered meals and desserts as well, they were good', 'This place is one of my favourite eating point. I truly love the service provided by them in addition to the various delicious food items. I love to try the various burgers,shakes,the meals and various other menu items. The best part about burger king is that you get really satisfying dishes at minimum price. I recommend it as a m']"
https://www.zomato.com/bangalore/desi-chinese-kitchen-indiranagar-bangalore,Indiranagar,Desi Chinese kitchen,18,3.9                                     /5," 95  votes
","Chinese, Asian",700,"['11:30am', '10:30pm']","1st Floor, HAL 3rd Stage, Puttappa Layout, New Tippasandra, Indiranagar, Bangalore","Home Delivery, Indoor Seating, ",,"[4, 'Noodle', 'Egg Fried Rice']","['Please think twice before ordering food from this place. One of my friends ordered veg manchow fried rice. Recieved the item attached in picture. Being a pure vegetarian, my friend was not aware of the white pieces in rice. The item was actually egg fried rice and the gravy along with it was chicken munchurian balls. After having a bite, when my friend got suspicious of the taste, then asked a non veg eating person who confirmed it was egg and chicken. This is a matter of serious concern because this is linked with our beliefs and these people do not have the basic courtesy to check the order before packing for delivery. Not recommended at all. As there is no option for 0 stars hence giving one star.']"
https://www.zomato.com/bangalore/empire-restaurant-indiranagar,Indiranagar,Empire Restaurant,1077,4.3                                     /5," 9796  votes
","North Indian, Mughlai, South Indian, Chinese",800,"['12noon', '1am']","Next To BSNL, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore","Home Delivery, No Alcohol Available, Indoor Seating, Buffet, ",,"[4, 'Chicken Grill', 'Butter Chicken', 'Ghee Rice', 'Pepper Chicken', 'Biryani', 'Shawarma', 'Wheat Paratha']","['Empire is one place that even if you go in the middle of the night you will get good food. I really like their Tandoori chicken which is spicy and tasty. Also like their ghee rice with paneer butter masala. The ghee rice is very mild and bland but with the gravy it tastes awesome.\n\nEgg fried rice is not that good there. Completely value for money and quick service', ""Empire's Indiranagar outlet is better than most of the other outlets in the city. The staff is courteous while Mansoor does a good job attending to us.\n\nThe Tandoori Chicken has a special taste here. My staple here is Chicken biryani along with Chicken Tandoori which I would definitely recommend.\nRecommended to add Buttermilk or grape juice to go with the food.\n\nDefinitely recommended."", 'Apart from main course nothing really stood out. Waiters seem confused at times, wrong orders keep coming at your table. Chicken tandoori masala was superb, empire special chicken kebab could have been better', 'Hey what are you giving to your Customer.\nYou customer is placing order for biryani and you are giving what ? Your Manager is not willing to talk with Customer please train thatF**k*r.\nWhat is quantity after spending 200rs.\nWhat the hell is going wrong with you guys.\nSorry I am giving 1 star because zomato is not giving option for negative rating And Zomato\nI am speechless. Your employee giving 32 rs to make up my bad experience. I am not a beggar. I am your Customer and Impire shame on you.', 'One of the finest places to eat. With over 40 branches and more than 3000 employees, the chain of excellent restaurants has maintained a standard in hospitality that only a few have managed to. Extraordinarily delicious food, combined with beautiful, friendly and serene restaurant environment is what anyone would love. Highly recommended by Travel Utopia Kashmir.\n\ngreat food. reasonable price and good atmosphere. .love this place❤\n\nVisited one of the empire branch at indranagar with friends, the foods we ordered were very good specially tawa swarma....loved it...\n\nI love the kebab and biriyani I love to visit again soon with my family\n\nGood hospitality keep it up', ""Went to Empire Restaurant for dinner. We ordered a biriyani and s starter and it was sufficient for two of us. The taste was really nice and there was a good quantity. They also have Zomato Gold, so the place is not expensive. The service was really nice . It's a good place to have some south Indian Cuisine in indiranagar at a reasonable price."", 'The food is very tasty and place is great for family lunches and dinners and parties.\nThe service can be a little more better overall good place for lunches and dinners with friends and family and the prices are also average.', ""Empire always my first preference.visite Indiranagar empire last week.tried their spread buffet.they had almost 25 veriaty dishes veg and nonveg with the lowest price ₹199.\n\nThey have chicken and veg soup.kabab and pepper chicken starter. Romali roti and Kerala poratta the bread's.veg fried rice.chicken biriyani.plain rice.butter chicken.egg masala.dal fry.sambar.rasam.poriyal..Wow lot's veriaty the reasonable price unlimited quantities..\nMust try to you once."", 'Not the first place that comes to my mind when I think about grabbing lunch. Still, due to colleagues vote we ended up here. We ordered grill chicken, chicken curry and Kerala Parotta. The chicken items were really on the spicy side. I like spicy food but I prefer pepper spice as opposed to chilli spice. The parottas were hot and crispy, which was nice.\nThe prices are slightly on the higher side for a simple lunch.', ""Huge premise with lot of space for dining. Variety of food but I only went to try kabab which was very tasty and unique. There is no parking space that's one setback else it's a good joint to visit for lovely food. Staff is friendly and service is quick and they do accept zomato gold which was great.""]"
https://www.zomato.com/bangalore/the-kolkata-kati-roll-indiranagar-bangalore,Indiranagar,The Kolkata Kati Roll,0,3.4                                     /5," Based on 42 votes
","Rolls, Fast Food",300,['24 Hours'],"7, 1st Floor, 2nd Main, 9th Cross, 1st Stage, Indiranagar, Bangalore","Home Delivery, ",,"[4, 'Chicken Grill', 'Butter Chicken', 'Ghee Rice', 'Pepper Chicken', 'Biryani', 'Shawarma', 'Wheat Paratha']","['Ordered through Swiggy. Even bare minimum filling was not there. I had to eat a maida Paratha roll with one spoon of filling spread out. Because the Paratha is really big it looks like a chunky fat roll but there is hardly any filling. :( had ordered a paneer roll and Gobi manchurian roll. Both were the same. It was early morning and I was really hungry so quietly ate it with some sauce. Wasn’t really in the mood to call and ask for a replacement or refund and wait for another order to arrive. But I won’t be ordering from here ever again.', '', 'One of the popular places to have rolls. Reasonably priced and waiting time is really less which is a plus point.', '', '', '', 'Awsm taste on time delivery\nGood customer service also\nI suggest to try dis awsm taste\nI had ordered ni8 3:50 am\nI thought he will ditch me but hats off\nHe did the delivery on time and also affordable price cheep and best', 'Great service', '', 'Courteous people in house. Open to your suggestions. Client Dedicated. Working towards more client satisfaction.']"
https://www.zomato.com/bangalore/shahi-family-restaurant-ulsoor-bangalore,Indiranagar,Shahi Family Restaurant,18,3.7                                     /5," 212  votes
","North Indian, Chinese, South Indian",350,"['9am', '12:50am']","12/1, Swami Vivekananda Road, Jayaraj Nagar, Someshwarpura, Ulsoor, Bangalore","Home Delivery, No Alcohol Available, Indoor Seating, Table booking recommended, ",,"[4, 'Chicken Biryani Combo']","['Nothing tasted good', 'Good\xa0 food\xa0 , I\xa0 liked\xa0 it . Biryani ordered was tasty ,\xa0 quantity\xa0 was\xa0 good , presentation\xa0 good , Salan\xa0 \xa0was\xa0 good ,\xa0 Only\xa0 suggestion\xa0 is to\xa0 provide Spoon with order', '', '', '', '', '', 'Sooo delicious .......🍽️🍽️🍽️🍽️', '', '']"
https://www.zomato.com/bangalore/choi-choi-momos-brigade-road,Indiranagar,Choi Choi Momos,14,4.0                                     /5," Based on 64 votes
","Momos, Chinese",300,"['11:30am', '11pm']","70/2, Markham Road, Ashok Nagar, Brigade Road, Bangalore","Home Delivery, Seating Not Available, ",,"[4, 'Chicken Biryani Combo']","[""A small little shack hidden among the busy alleys. I frequent them for their soup and haven't eaten anything much from them apart from the soup and one occasional plate of Schzewan momos, which I wasn't able to enjoy fully. Will definitely give them more visits for their combo meals.""]"
